ID,Title,Author,Date,Genre,Form,Nb of tokens (c.)
moliere-mariage-force,Le Mariage Forcé,123197131,1668,,prose,6705
carmontelle-la-veste-brodee,La Veste Brodée.,79771756,1783,proverbe,prose,2833
chevalier-cartel-de-guillot,Le Cartel de Guillot,390636290,1682,comedy,verse,5214
campistron-juba,"Juba, Roi de Mauritanie",118280635,1685,tragedy,verse,9795
le-tellier-dom-juan,Don Juan ou Le Festin de Pierre,,1713,,verse,1884
corneillep-tite,Tite et Bérénice,121296128,1671,,verse,16502
hoffman-phedre,Phèdre,,1786,opera,verse,6901
arnould-heroine-americaine,L'Héroïne Américaine,107986253,1786,,prose,3165
schelandre-tyr-sidon-i,Tyr et Sydon,63080475,1628,tragicomedy,verse,24633
galoppe-amour-pris-aux-cheveux,L'Amour Pris aux Cheveux,,1852,,verse,3695
mareschala-cour-bergere,La Cour Bergère,371567007,1640,tragicomedy,verse,17496
scudery-prince-deguise,Le Prince Déguisé,121441372,1636,tragicomedy,verse,15705
hugo-burgraves,Les Burgraves Trilogie,121200982,1843,drama,verse,25941
magnon-artaxerxe,Artaxerxe,78207483,1645,tragedy,verse,15875
jeannet-moliere-en-menage,Molière en Ménage,,1856,comedy,prose,7236
sivry-indecision,Indécision,,1881,monologue,prose,719
rotrou-antigone,Antigone,122831639,1638,tragedy,verse,16228
durant-a-laver-la-tete,A Laver la Tête d'Ane on y Perd sa Lessive,123478574,1699,proverbe,prose,2190
bouilly-descartes,René-Descartes.,,1796,,prose,10373
hoffman-original,L'Original,,1797,comedy,mixte,5122
gillet-deniaise,Le Déniaisé,122762469,1647,comedy,verse,20136
corneillep-rodogune,"Rodogune, Princesse des Parthes",121296128,1647,tragedy,verse,18764
onhet-aux-avants-postes,Aux Avant-Postes,121372573,1883,comedy,verse,4837
quinault-amadis,Amadis,120962483,1684,,verse,5845
nericault-glorieux,Le Glorieux,108686463,1732,comedy,verse,22227
dancourt-cephale-procris,Céphale et Procris,110220873,1711,comedy,verse,20370
vierne-moliere-enfant,Molière Enfant,,1885,comedy,verse,8946
marivaux-meprise,La Méprise,121458289,1739,comedy,prose,9092
mercier-tombeaux-de-verone,Les Tombeaux de Vérone.,121280441,1783,drama,prose,17779
bernardt-narcotique,Le Narcotique,121371490,1936,comedy,prose,2905
bernardt-le-cambrioleur,"Le Cambrioleur, Saynète",121371490,1900,saynete,prose,2250
sedaine-richard,Richard Coeur de Lion,,1784,comedy,mixte,8042
rotrou-amarillis,Amarillis,122831639,1653,,verse,14431
carmontelle-fous,Les Fous,79771756,1771,proverbe,mixte,2246
montchretien-david,David,109271876,1601,tragedy,verse,12755
audiffret-epreuve,L'Epreuve,9226779,1861,,mixte,2642
corneillep-suite-menteur,La Suite du Menteur,121296128,1645,comedy,verse,17881
gilbert-rodogune,Rodogune,116617599,1646,tragicomedy,verse,14759
quinault-comedie-sans-comedie,La Comédie sans Comédie,120962483,1657,comedy,verse,18965
scarron-marquis-ridicule,Le Marquis Ridicule,120990126,1656,comedy,verse,16926
boursault-comedie-sans-titre,La Comédie sans Titre,83429101,1694,comedy,verse,17448
beissier-guignol-et-la-cabaretiere,Guignol et la Cabaretière,0000 0001 1474 4543,1894,comedy,prose,2524
lemierre-idomenee,Idoménée,121441727,1764,tragedy,verse,10522
hervilly-pere-et-fils,"Poquelin, Père et Fils",000000010927249X,1887,monologue,verse,7645
moliere-fourberies-de-scapin,Les Fourberies de Scapin,123197131,1671,comedy,prose,16512
guerin-de-bouscal-dom-quixote-2,Don Quichotte de la Manche [suite],79803308,1640,comedy,verse,18419
saint-aignan-mort-louis-xvi,La Mort de Louis Xvi,,1793,tragedy,verse,8907
prade-arsace,"Arsace, Roi des Parthes",,1666,tragedy,verse,15706
voltaire-zaire,Zaïre,121280652,1732,tragedy,verse,15106
carmontelle-abbe-de-coure-diner,L'Abbé de Coure-Dîner.,79771756,1822,proverbe,prose,3046
carmontelle-a-trompeur-trompeur-et-demi,"A Trompeur, Trompeur et Demi",79771756,1768,proverbe,prose,2827
dancourt-impromptu-de-garnison,L'Impromptu de Garnison.,110220873,1692,comedy,prose,7766
regnard-divorce,"Le Divorce, Comédie.",000000012118509X,1688,comedy,prose,14187
biancollelli-oedipe-travesti,Oedipe Travesti,000000007975178X,1719,,verse,5347
donneau-de-vise-intrigues-de-la-loterie,Les Intrigues de la Loterie,108664651,1670,comedy,verse,10877
marmontel-hercule-mourant,Hercule Mourant,121192513,1761,opera,verse,4839
diderot-piece-prologue,La Pièce et le Prologue,000000012133370X,1771,comedy,prose,14051
moissy-moineaux,Les Moineaux. dans les Jeux de la Petite Thalie.,83521936,1769,proverbe,prose,3980
piron-nouvelle-messaline,La Nouvelle Messaline,121400431,1772,tragedy,verse,3608
beaunoir-sculpteur,Le Sculpteur,121017547,1784,comedy,prose,10224
feydeau-tout-a-brown-sequard,Tout à Brown-Séquard !...,121184695,1887,monologue,prose,1803
bernardt-homme-a-la-maison,"Un Homme dans la Maison, Comédie",121371490,1930,comedy,prose,2499
legrand-cartouche,Cartouche ou Les Voleurs,122798349,1770,comedy,prose,9854
musset-ane,L'Ane et le Ruisseau,121334059,1858,comedy,prose,11389
graffigny-ziman-zenise,Ziman et Zenise,81151740,1770,comedy,prose,5571
genlis-bonne-mere,La Bonne Mère,121386051,1847,comedy,prose,9379
carmontelle-recommandation,La Recommandation,79771756,1771,proverbe,prose,3768
hervilly-magister,Le Magister,000000010927249X,1887,monologue,verse,4506
voltaire-depositaire,Le Dépostaire,121280652,1769,comedy,verse,18789
corneillep-oedipe,Oedipe,121296128,1659,tragedy,verse,20028
chevalier-galants-ridicules,Les Galants Ridicules,390636290,1672,comedy,verse,5405
durant-bonne-renommee,Bonne Renomée Vaut Mieux que Ceinture Dorée,123478574,1699,proverbe,prose,1342
andrieux-moliere-et-ses-amis,Molière et ses Amis ou La Soirée d'Auteuil,000000008081539X,1804,comedy,verse,8538
monselet-par-la-poste,Par la Poste,109052286,1881,monologue,verse,590
montfleury-impromptu-conde,L'Impromptu de l'Hôtel de Condé,,1774,comedy,verse,3969
moncrif-abderites,Les Abderites,,1737,comedy,verse,5994
racine-athalie,Athalie,123212338,1691,tragedy,verse,17714
regnard-legataire,"Le Légataire Universel, Comédie",000000012118509X,1704,comedy,verse,22973
cubieres-palmezeaux-mort-de-moliere-4a,La Mort de Molière,000000008135744X,1802,comedy,verse,17827
jarry-ubu-roi,Ubu Roi,121371722,1896,drama,mixte,14104
regnard-coquette,"La Coquette, ou L'Académie des Dames.",000000012118509X,1691,comedy,mixte,13450
anseaume-ressource-comique,La Ressource Comique,121229179,1772,comedy,mixte,8905
florian-bon-menage,Le Bon Ménage,121244109,1788,comedy,prose,6758
marmontel-huron,Le Huron,121192513,1768,comedy,verse,7053
carmontelle-apres-dinee,L'Après-Dinée,79771756,1771,proverbe,prose,2177
giraudoux-ondine,Ondine,000000012117821X 0000000115735008 0000000083593534 0000000355704083,1939,comedy,prose,28171
garniert-vocation-forcee,La Vocation Forcée ou Le Legs,83709277,1785,proverbe,prose,3226
la-motte-omphale,Omphale,000000012124458X,1752,tragedy,verse,7961
melandri-halle-aux-baisers,La Halle aux Baisers,40061191,1883,monologue,verse,665
bernardt-partie-de-bridge,"La Partie de Bridge, Comédie",121371490,1930,comedy,prose,2042
blanc-druides,Les Druides,,1783,tragedy,verse,15568
du-ryer-argenis-poliarque,Argenis et Poliarque ou Théocrine,110211360,1630,tragicomedy,verse,15556
anonyme-sauvages-civilises,Les Sauvages ou Le Roi Bienfaisant.,,1789,opera,verse,4847
saint-roman-dialogue,Dialogue,,1750,comedy,verse,1792
moissy-petite-verole,La Petite Vérole.,83521936,1769,proverbe,prose,4169
scarron-prince-corsaire,Le Prince Corsaire.,120990126,1650,tragicomedy,verse,13533
mathieu-magicienne-etrangere,La Magicienne Etrangère,110698252,1617,tragedy,verse,7214
anonyme-bonnes-gens,Les Bonnes Gens,,1772,comedy,verse,3528
mairet-sophonisbe,Sophonisbe,120990425,1635,tragedy,verse,15596
feydeau-colis,Le Colis,121184695,1885,monologue,verse,1504
discret-noces-de-vaugirard,Les Noces de Vaugirard ou Les Naïvetés Champêtres.,,1688,comedy,verse,20421
desfontaines-eurimedon,Eurimédon ou L'Illustre Pirate.,79800158,1637,tragicomedy,verse,16443
corneillet-ariane,Ariane,000000012281648X,1672,tragedy,verse,15210
voltaire-fete-de-bellebat,La Fête de Bellébat,121280652,1801,,verse,4491
piron-vasta,"Vasta, Reine de Bordélie",121400431,1772,tragedy,verse,3029
ouville-fausses-verites,Les Fausses Vérités,79778325,1643,comedy,verse,17215
courteline-la-premiere-lecon,La Première Leçon,121452784,1897,monologue,prose,1094
monselet-deux-dumas,Les Deux Dumas,109052286,1859,comedy,prose,3167
dancourt-bourgeoises-a-la-mode,Les Bourgeoises à la Mode.,110220873,1692,comedy,prose,17525
barante-arlequin-misanthrope,Arlequin Misanthrope,,1697,comedy,mixte,18523
carmontelle-deux-auteurs,Les Deux Auteurs,79771756,1822,proverbe,verse,1149
racine-bajazet,Bajazet,123212338,1672,tragedy,verse,16074
corneillet-theodat,Théodat,000000012281648X,1673,tragedy,verse,16241
grosclaude-peche-a-la-ligne,La Pêche à la Ligne,110680984,1888,,verse,781
marechal-jugement-dernier-des-rois,Le Jugement Dernier des Rois,,1793,comedy,prose,7573
dancourt-loterie,La Loterie,110220873,1697,comedy,prose,9747
moliere-critique-ecole-des-femmes,La Critique de l'Ecole des Femmes,123197131,1663,comedy,prose,9653
cailleau-tragedies-voltaire,Les Tragédies de M. de Voltaire,000000008098218X,1760,comedy,prose,8512
feydeau-potache,Le Potache,121184695,1883,monologue,prose,1301
guerin-de-bouscal-dom-quixote,Don Quichotte de la Manche,79803308,1639,comedy,verse,15878
quinault-grotte,Le Grotte de Versailles Eglogue en Musique,120962483,1668,,verse,1238
verconsin-adelaide-et-vermouth,Adélaïde et Vermouth,117513409,1870,comedy,prose,3071
genlis-voyageur,Le Voyageur,121386051,1829,comedy,prose,7861
hugo-sur-la-lisiere-d-un-bois,Sur la Lisière d'un Bois,121200982,1886,comedy,verse,982
scudery-fils-suppose,Le Fils Supposé,121441372,1636,comedy,verse,14229
sacy-fat-de-province,Le Fat de Province,83390649,1778,,prose,5833
voltaire-lois-de-minos,Les Lois de Minos ou Astérie,121280652,1773,tragedy,verse,12274
scribe-conversion,La Conversion,000000012122970X,1861,proverbe,mixte,7251
labiche-coup-de-rasoir,Un Coup de Rasoir,122775040,1881,saynete,prose,2070
puget-de-la-serre-pandoste-ii,Pandoste [ii] ou La Princesse Malheureuse,120990281,1631,tragedy,prose,8737
puget-de-la-serre-martyre-sainte-catherine,Le Martyre de Sainte Catherine,120990281,1643,tragedy,prose,10954
biancolelli-riccoboni-romagnesi-comediens-esclaves,Les Comédiens Esclaves,000000007975178X 0000000115857945 0000000121193196,1726,,prose,1840
quinault-mere-coquette,La Mère Coquette,120962483,1665,comedy,verse,17525
boissy-frivolite,La Frivolité,80772860,1753,comedy,verse,6707
corneillet-inconnu,L'Inconnu,000000012281648X,1675,comedy,verse,19515
barbier-faucon,Le Faucon,78291961,1719,comedy,verse,5751
colle-accidents,"Les Accidents ou Les Abbés, Comédie.",121258527,1909,comedy,prose,8921
dufresny-regnard-baguette-vulcain,"La Baguette de Vulcain, Comédie en un Acte",,1693,comedy,mixte,3448
courteline-theodore-cherche-des-alumettes,Théodore Cherche des Allumettes,121452784,1904,saynete,prose,2563
carmontelle-faux-indifferents,Les Faux Indifférents,79771756,1771,proverbe,prose,1382
colleville-sophie-derville,Sophie et Derville,,1788,comedy,prose,6722
dupaty-luce-salverte-bievre,Monsieur de Bievre,122768027,1798,vaudeville,mixte,6155
chevalier-pedagogue-amoureux,Le Pédagogue Amoureux,390636290,1665,comedy,verse,15678
corneillet-comtesse-orgueil,La Comtesse d'Orgueil,000000012281648X,1690,comedy,verse,18681
garnier-bradamante,Bradamante,121265989,1582,tragicomedy,verse,18454
la-harpe-comte-de-warwick,Le Comte de Warwik,122755357,1764,tragedy,verse,13718
moissy-gourmandes,Les Gourmandes,83521936,1769,proverbe,prose,3483
carmontelle-la-fripon-orgueilleux,Le Fripon Orgueilleux,79771756,1781,proverbe,prose,4270
about-risette,Risette ou Les Millions de la Mansarde,121005116,1873,comedy,prose,7094
chevalier-intrigue-des-carrosses,L'Intrigue des Carosses à Cinq sous,390636290,1663,comedy,verse,10336
carmontelle-faux-empoisonnement,Le Faux Empoisonnement,79771756,1768,proverbe,prose,2941
rousseau-devin-du-village,Le Devin du Village,121451116,1753,,verse,2601
dancourt-femme-d-intrigues,La Femme D'Intrigues.,110220873,1692,comedy,prose,19568
scudery-ligdamon-e-lidias,Ligdamon et Lidias ou La Ressemblance,121441372,1631,tragicomedy,verse,20392
labaume-messe-de-gnide,La Messe de Gnide,,1795,comedy,verse,4705
dufresny-jaloux-honteux,Le Jaloux Honteux,140935001,1708,comedy,prose,14022
scribe-tete-a-tete,Le Tête-à-tête,000000012122970X,1853,proverbe,prose,10106
ouville-absent-chez-soi,L'Absent chez Soi,79778325,1643,comedy,verse,18954
hardy-meleagre,Méléagre,419948774,1604,tragedy,verse,10548
gueudeville-dialogues-de-lahontan-1704,"Dialogues de Monsieur le Baron de Lahontan et d'un Sauvage dans L'Amérique. avec les Voyages du Même au Portugal et en Danemark, dans Lesquels on Trouve des Particularités Très Curieuses, et qu'on Avait Point Encor Remarquées. le Tout Enrichi de Cartes et de Figures.",000000012142525X,1704,dialogue,prose,29252
carcassonne-rose-et-rosette,Rose et Rosette,0000 0001 1756 1275,1889,comedy,prose,1400
biancolleli-enfants-trouves,Les Enfants Trouvés,,1733,,verse,5288
racine-andromaque,Andromaque,123212338,1697,tragedy,verse,16310
scarron-ecolier-de-salamanque,L'Escolier de Salamanque,120990126,1655,tragicomedy,verse,17613
carmontelle-le-boiteux,Le Boiteux.,79771756,1783,proverbe,prose,7173
beissier-l-oiseau-bleu,"L'Oiseau Bleu, Saynète",0000 0001 1474 4543,1888,saynete,prose,3799
goetschy-professeur-de-declamation,Le Professeur de Déclamation,,1881,monologue,prose,3460
benserade-cleopatre,Cléopâtre,80815445,1636,tragedy,verse,17185
desportes-veuve-coquette,La Veuve Coquette,,1758,comedy,mixte,6130
corneillep-suivante,La Suivante,121296128,1637,comedy,verse,16226
